,ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address
12,51221094,2007-01-01 00:05:00,4944 N OAKLEY,f3ec75e4c24eb68836cd463d8e1a487e78dd72a54a80235af2076e0949563e86,IL,PAS,,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,20,CPD,VOLK,50,100,0.0,50.0,Paid,2007-01-05 00:00:00,,,0,6071,"4900 n oakley, chicago, il"
13,51507780,2007-01-01 00:05:00,9 E 41ST ST,81f2b5e908e108b3e1524676d7a736f22e56c0b2b4128db15b9a3f04bcdab43c,IL,PAS,606532213,0976160A,REAR AND FRONT PLATE REQUIRED,2,CPD,PONT,50,100,0.0,50.0,Paid,2007-02-01 00:00:00,VIOL,,5019225780,6639,"9 e 41st st, chicago, il"
14,51507783,2007-01-01 00:10:00,2 W ROOT ST,293a3031530927d9ebf4ad6f3ba2681bc7bce31c116b4f732487a4e677966936,IL,PAS,618204259,0976160A,REAR AND FRONT PLATE REQUIRED,2,CPD,MAZD,50,100,0.0,100.0,Paid,2007-08-10 00:00:00,SEIZ,,5075287660,6636,"2 w root st, chicago, il"
15,51507782,2007-01-01 00:10:00,11 W ROOT ST,e3c21d1b5299d0b99c42f11da70d97c4c65241e3024394f5ac964c1a2a309d37,IL,PAS,60148,0976160A,REAR AND FRONT PLATE REQUIRED,2,CPD,NISS,50,100,0.0,50.0,Paid,2007-03-30 00:00:00,VIOL,,5044442080,6639,"1 w root st, chicago, il"
16,51261418,2007-01-01 00:10:00,4425 N HAZEL,2c81a12b28fed3d939854da2c769381acd251b7393ce41f016571bc2bf6547c3,IL,PAS,601762321,0976220B,SMOKED/TINTED WINDOWS PARKED/STANDING,23,CPD,CADI,25,50,0.0,25.0,Paid,2007-03-02 00:00:00,DETR,,5079881330,13207,"4400 n hazel, chicago, il"
17,51579259,2007-01-01 00:12:00,6317 N CLAREMONT,eb89fb9236b7f86f4ff9a488bd73f9c1b814fa94fc9895f18ceb025c7f06c4af,IL,TMP,60639,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,24,CPD,DODG,50,100,50.0,0.0,Define,2007-01-09 00:00:00,,,0,7539,"6300 n claremont, chicago, il"
18,51221329,2007-01-01 00:13:00,4835 N MAGNOLIA,4805417d8c2a6ca45e9c92f3277c4632f7c2e1dae64120362279cbe80759059a,IL,PAS,606251705,0964150B,PARKING/STANDING PROHIBITED ANYTIME,20,CPD,OLDS,50,100,0.0,100.0,Paid,2007-03-21 00:00:00,SEIZ,,5075432620,12775,"4800 n magnolia, chicago, il"
19,51261433,2007-01-01 00:14:00,756 W CORNELIA,9d61541a9fa129ed2b4542dbec622116dad066c20b81249fcd7c60cef7ca00b6,NJ,PAS,,0964150B,PARKING/STANDING PROHIBITED ANYTIME,23,CPD,TOYT,50,100,50.0,0.0,Define,2007-01-04 00:00:00,,,0,9738,"700 w cornelia, chicago, il"
20,51261434,2007-01-01 00:15:00,724 W CORNELIA,eb21739c2d69bbae4a69b59e5d78a18ce9c8098f36badf83aa315e5e8f394122,IL,PAS,60005,0964110C,PARK OR STAND ON CROSSWALK,23,CPD,SATR,50,100,0.0,50.0,Paid,2007-01-23 00:00:00,VIOL,,5079881390,9738,"700 w cornelia, chicago, il"
21,50314013,2007-01-01 00:15:00,12 W ROOT ST,9b36f7f818c1546261f831b2add5b4ece5d4d4ff0e251bc744b8f77d6109b2bb,IL,PAS,618013705,0976160A,REAR AND FRONT PLATE REQUIRED,2,CPD,CHEV,50,100,0.0,122.0,Paid,2017-02-06 00:00:00,FINL,,5079874970,17944,"1 w root st, chicago, il"
22,51221318,2007-01-01 00:17:00,5940 N SACRAMENTO,51e32a091f610e44bdffbdf0e947789fd26b7fc91e80b9df9910cfe917fe803e,IL,PAS,60616,0964090E,RESIDENTIAL PERMIT PARKING,20,CPD,FORD,50,100,0.0,100.0,Paid,2007-06-26 00:00:00,SEIZ,,5074794080,10799,"5900 n sacramento, chicago, il"
23,51536308,2007-01-01 00:19:00,3402 N ALBANY,7ff15c8b9575f66d503e34f806e2d6ea8bcc57fae57da767e3546f509cad7600,IL,PAS,606345108,0964150B,PARKING/STANDING PROHIBITED ANYTIME,17,CPD,MERC,50,100,0.0,50.0,Paid,2007-01-19 00:00:00,VIOL,,5079955340,14161,"3400 n albany, chicago, il"
24,51260472,2007-01-01 00:20:00,4753 N SHERIDAN,ec31264525df263d458afe9416bb002db8d1df749cdbb807e3cd24f031895590,IL,PAS,608041538,0964150B,PARKING/STANDING PROHIBITED ANYTIME,23,CPD,CADI,50,100,122.0,0.0,Notice,2007-01-10 00:00:00,FINL,,5079880840,3307,"4700 n sheridan, chicago, il"
25,51221319,2007-01-01 00:20:00,5937 N SACRAMENTO,ba88c48805428bbc60a2128ea0e9c9ad0c86c71934da0e11c85a5b8d456bf3e5,IL,TMP,60076,0964090E,RESIDENTIAL PERMIT PARKING,20,CPD,LNDR,50,100,0.0,50.0,Paid,2007-01-11 00:00:00,,,0,10799,"5900 n sacramento, chicago, il"
26,51260471,2007-01-01 00:20:00,4555 N MALDEN,c7a0824e03122c920b090834c1d1e710f86364fa3a7facb8ab2a8e7c4ef6dee0,IL,PAS,606405542,0964150B,PARKING/STANDING PROHIBITED ANYTIME,23,CPD,MITS,50,100,0.0,50.0,Paid,2007-01-26 00:00:00,VIOL,,5060096650,3307,"4500 n malden, chicago, il"
27,51260470,2007-01-01 00:20:00,4401 N MALDEN,8f885483201ff436f14cb7fefaec206e0312ec978b38dbb9835d0e5bb5141a34,IL,PAS,60640,0964150B,PARKING/STANDING PROHIBITED ANYTIME,23,CPD,KIA,50,100,0.0,50.0,Paid,2007-02-22 00:00:00,DETR,,5079880830,3307,"4400 n malden, chicago, il"
28,51261419,2007-01-01 00:22:00,4426 N HAZEL,dfb280903fca5e5e84b3e6f7e0bf149d435f98ef76b4cd0261dedab96ffcab41,IL,PAS,605043124,0964110C,PARK OR STAND ON CROSSWALK,23,CPD,PLYM,50,100,0.0,100.0,Paid,2007-04-06 00:00:00,FINL,,5077567870,13204,"4400 n hazel, chicago, il"
29,51551281,2007-01-01 00:23:00,5647 W 64TH ST,c8da0b69a9904ff916736805bdfc6fb8b308adff1d2603a350b450fdd240e5e0,IL,PAS,606385519,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,8,CPD,GMC,50,100,0.0,0.0,Dismissed,2011-07-13 00:00:00,SEIZ,,5064287110,15227,"5600 w 64th st, chicago, il"
30,51223718,2007-01-01 00:24:00,2546 S KEDZIE,5048cce7b7e92facfd432375fc5ae6851148baedf5e2ca7315446203f07c642b,IL,PAS,606174863,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,10,CPD,CHEV,50,100,0.0,50.0,Paid,2007-02-09 00:00:00,DETR,,5052604490,10904,"2500 s kedzie, chicago, il"
31,51352895,2007-01-01 00:25:00,1615 W 81ST,e45c7dba1c9b5039e48b06fc89dbe2d8f6edab4465a93eae1492842c51b3caa7,IL,PAS,,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,6,CPD,GMC,50,100,50.0,0.0,Define,2007-01-11 00:00:00,,,0,14797,"1600 w 81st, chicago, il"
32,51221320,2007-01-01 00:25:00,5925 N SACRAMENTO,1d7c1cc5180c11ec6939065a9bba90c5b39b0bc38ecc988f8ccaf34cce31844a,IL,PAS,606522013,0964125,NO CITY STICKER OR IMPROPER DISPLAY,20,CPD,LEXU,120,240,0.0,240.0,Paid,2008-06-10 00:00:00,SEIZ,,5014154970,10799,"5900 n sacramento, chicago, il"
33,51260473,2007-01-01 00:25:00,4755 N SHERIDAN,7bddea2b0ed3e7470746fee80154718159ca24193ee40c7cd00ddcdde85f690f,IL,PAS,60651,0964150B,PARKING/STANDING PROHIBITED ANYTIME,23,CPD,FORD,50,100,0.0,50.0,Paid,2007-02-17 00:00:00,DETR,,5079829070,3307,"4700 n sheridan, chicago, il"
34,51490223,2007-01-01 00:25:00,21 W DIVISION,89a953c03be94b7279ce26c60786bbeedf12289cc6e62aef65778fc37464adfd,IL,TXI,60649,0964020B,OBSTRUCT ROADWAY,18,CPD,FORD,75,150,0.0,150.0,Paid,2007-07-25 00:00:00,FINL,,5082429890,10376,"1 w division, chicago, il"
35,51363458,2007-01-01 00:25:00,4703 S KARLOV,db8b9399dc22260a4306f5e609d00c026adcb8d96cf4581defe48351aa596234,IL,PAS,606324121,0964150B,PARKING/STANDING PROHIBITED ANYTIME,8,CPD,CHEV,50,100,0.0,50.0,Paid,2007-01-18 00:00:00,VIOL,,5079885620,8481,"4700 s karlov, chicago, il"
36,51368185,2007-01-01 00:25:00,1747 N CENTRAL,d0e7e3503e659dfac390053bc100082521b3ab491f6c571e7891960b9a11e3a0,IL,PAS,60644,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,25,CPD,CADI,50,100,0.0,100.0,Paid,2008-12-02 00:00:00,SEIZ,,5064260940,17389,"1700 n central, chicago, il"
37,51240388,2007-01-01 00:27:00,3201 W WHIPPLE,2591ad2bedd144dc03efcabecb3fc3dca018cd19d525ae12564699229ca41cd2,IL,HCP,606185419,0964150B,PARKING/STANDING PROHIBITED ANYTIME,17,CPD,CHEV,50,100,0.0,50.0,Paid,2007-02-02 00:00:00,VIOL,,5079936930,6855,"3200 w whipple, chicago, il"
38,51261435,2007-01-01 00:29:00,3402 N ELAINE PL,748704b1a477e76192c6a328e872707486a12a57bc1d49471c740703326d7ea6,IL,PAS,62411,0964150B,PARKING/STANDING PROHIBITED ANYTIME,23,CPD,VOLK,50,100,0.0,100.0,Paid,2007-12-31 00:00:00,SEIZ,,5080568140,9738,"3400 n elaine pl, chicago, il"
39,47558820,2007-01-01 00:30:00,700 N OHIO ST,aee6d31a4eaccb2c5806b7c7ed79b5aa5371cb528236a882224da4cfbb30de6a,IL,PAS,606293518,0964110G,PARK OR STAND IN VIADUCT/UNDERPASS,493,CPD,PLYM,75,150,0.0,75.0,Paid,2007-09-05 00:00:00,DETR,,5085130160,472,"700 n ohio st, chicago, il"
40,51221095,2007-01-01 00:30:00,4887 N CLARK,ef5a61e50fca5c67b88688b33d10b6a7abac638a081f7008c55ec991a7f905ec,NV,PAS,89149,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,20,CPD,TOYT,90,180,219.6,0.0,Notice,2007-08-12 00:00:00,FINL,,5086737710,6371,"4800 n clark, chicago, il"
41,51551279,2007-01-01 00:30:00,5741 W 64TH ST,42e30b44a44c9137b3717d154008cc265915c52ab4688ded07109d3595af4252,IL,PAS,60453,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,8,CPD,TOYT,50,100,0.0,100.0,Paid,2011-03-23 00:00:00,FINL,,5131698750,15227,"5700 w 64th st, chicago, il"
42,51261389,2007-01-01 00:30:00,3050 N PINE GROVE,06a9bb1c82eeb0d44e4afe8f4869d603ae76ae7903a9320dedcc2e9aaac8eb4f,IL,PAS,601153213,0964100A,WITHIN 15' OF FIRE HYDRANT,23,CPD,VOLK,100,200,0.0,100.0,Paid,2007-02-06 00:00:00,VIOL,,5080171800,15117,"3000 n pine grove, chicago, il"
43,51260474,2007-01-01 00:30:00,1148 W LELAND,5e0e80b921a70ecc42ce1213b8c34202c3f95a9ec49ade691eecf732778424d6,IL,PAS,606255311,0964150B,PARKING/STANDING PROHIBITED ANYTIME,23,CPD,DODG,50,100,0.0,50.0,Paid,2007-01-25 00:00:00,VIOL,,5079880850,3307,"1100 w leland, chicago, il"
44,51260475,2007-01-01 00:30:00,1216 W LELAND,963a58e2a066ba9648fc09d9803d324d7d18ec2eaf48f85d1c36693d4d5f82ce,IL,PAS,601011309,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,23,CPD,CHEV,50,100,0.0,50.0,Paid,2007-02-14 00:00:00,DETR,,5079880860,3307,"1200 w leland, chicago, il"
45,51096296,2007-01-01 00:31:00,6109 S MARYLAND,f5380fd7de463eb9dd05f1a75cab1de3a5efb7fe4173b28f28d627019df41686,IL,PAS,60628,0964090E,RESIDENTIAL PERMIT PARKING,3,CPD,CHEV,50,100,0.0,100.0,Paid,2009-11-03 00:00:00,SEIZ,,5078487690,14188,"6100 s maryland, chicago, il"
46,51495407,2007-01-01 00:32:00,1319 N ASHLAND,ccea72c4bb01500106030752aa91ae898e3de69a72d97a885a7fac6fdfbf79e8,IL,TRK,,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,14,CPD,CHEV,90,180,90.0,0.0,Define,2007-01-05 00:00:00,,,0,7353,"1300 n ashland, chicago, il"
47,51495365,2007-01-01 00:33:00,1321 N ASHLAND,bcce85dad5a3cea7667688ce43187d3468d764440f548f9b180c2eceaadc7cb8,IL,PAS,601651022,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,14,CPD,CHEV,90,180,0.0,90.0,Paid,2007-02-05 00:00:00,DETR,,5079920770,18870,"1300 n ashland, chicago, il"
48,52663088,2007-01-01 00:33:00,4701 W VAN BUREN,bb705d80aadc09a14745df96302677045d86ee4d7a9c48c3b8d43f63dc39f1d8,IL,TMP,60623,0964150B,PARKING/STANDING PROHIBITED ANYTIME,11,CPD,LINC,50,100,122.0,0.0,Notice,2007-11-15 00:00:00,DLS,,5089056710,10834,"4700 w van buren, chicago, il"
49,51368190,2007-01-01 00:34:00,5858 W BLOOMINGDALE,f7ed4a89db8cbd76ce1535d3b67ac508bacaaffbbc65211222548371b7c79a53,IL,PAS,606232584,0964150B,PARKING/STANDING PROHIBITED ANYTIME,25,CPD,CADI,50,100,122.0,0.0,Bankruptcy,2016-02-16 00:00:00,DLS,,5057618720,17389,"5800 w bloomingdale, chicago, il"
50,51603005,2007-01-01 00:35:00,2938 S WENTWORTH,47d1c717ea1459c73fa1f464ff6d638007f414868057bf489ea9382b45d92686,IL,PAS,601311206,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,21,CPD,CHRY,90,180,0.0,90.0,Paid,2007-01-10 00:00:00,,,0,17664,"2900 s wentworth, chicago, il"
51,51261420,2007-01-01 00:35:00,3510 N HALSTED,b38f1db5b897ddad55ff68dd35e1920e19acb26c4ebd3a57235d2c8128f93463,TN,PAS,,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,23,CPD,HOND,90,180,90.0,0.0,Define,2007-01-04 00:00:00,,,0,17207,"3500 n halsted, chicago, il"
52,51220929,2007-01-01 00:35:00,1401 W EDGEWATER,29e419177c6967e88993cfb1fd09d2188984106e3e995ddb966bdf835d014a66,IL,PAS,606224004,0964100D,DISABLED CURB CUT,20,CPD,DODG,75,150,150.0,0.0,Bankruptcy,2011-08-25 00:00:00,DLS,,5074563090,16443,"1400 w edgewater, chicago, il"
53,52003705,2007-01-01 00:35:00,672 E 83RD ST,44458d0521ec31b2492c5bb13f6f7dda0db9bdffe657d4e691785df69a0fae16,IL,PAS,606372209,0976160A,REAR AND FRONT PLATE REQUIRED,253,CPD,BMW,50,100,50.0,0.0,Define,2007-01-22 00:00:00,,,0,2921,"600 e 83rd st, chicago, il"
54,51495408,2007-01-01 00:35:00,1321 N ASHLAND,11218e081c5b37f7043f1cdce5ff2741993b099ddc5fede69ffcf9e5d0efc45d,IL,PAS,606512113,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,14,CPD,FORD,90,180,0.0,180.0,Paid,2007-03-19 00:00:00,FINL,,5079920860,7353,"1300 n ashland, chicago, il"
55,51495366,2007-01-01 00:35:00,1227 N .ASHLAND,9501af856519dbef00b510c127f1e74d0eae660b0ffae76082cdf86ce76de760,IL,LIV,601207004,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,14,CPD,LINC,90,180,0.0,180.0,Paid,2007-04-25 00:00:00,FINL,Liable,5079920780,18870,"1200 n .ashland, chicago, il"
56,51221096,2007-01-01 00:35:00,1526 W WINNEMAC,ac1667eb23024292c261e2ef41608f260edfb8a99ed551b9ff8538ef9ad5dace,IL,PAS,606185843,0964150B,PARKING/STANDING PROHIBITED ANYTIME,20,CPD,OLDS,50,100,0.0,50.0,Paid,2007-01-31 00:00:00,VIOL,,5075294660,6371,"1500 w winnemac, chicago, il"
57,51065731,2007-01-01 00:35:00,3357 N OAKLEY,d0443eeb964f9689c93d87c1580a67c88afd325052e4ec04d470c82875845b36,IL,PAS,606185713,0964150B,PARKING/STANDING PROHIBITED ANYTIME,19,CPD,LINC,50,100,0.0,100.0,Paid,2007-03-09 00:00:00,FINL,,5073731810,11898,"3300 n oakley, chicago, il"
58,51220930,2007-01-01 00:36:00,1401 W EDGEWATER,29e419177c6967e88993cfb1fd09d2188984106e3e995ddb966bdf835d014a66,IL,PAS,606224004,0964125,NO CITY STICKER OR IMPROPER DISPLAY,20,CPD,DODG,120,240,240.0,0.0,Bankruptcy,2011-08-25 00:00:00,DLS,,5074563090,16442,"1400 w edgewater, chicago, il"
59,50932372,2007-01-01 00:36:00,3000 S WENTWORTH,bf4a5673721d0aa690dea7626daa0530b6cb281be01b0a3d064b8d176a97db64,IL,PAS,60008,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,21,CPD,ACUR,90,180,0.0,180.0,Paid,2007-06-20 00:00:00,FINL,,5079876080,13740,"3000 s wentworth, chicago, il"
60,51223219,2007-01-01 00:37:00,5401 W ROOSEVELT,a13b305bf7697fa53ba79092348729b3084b9629f29bb8535c4a5c913da3f797,IL,PAS,60624,0964125,NO CITY STICKER OR IMPROPER DISPLAY,10,CPD,PONT,120,240,240.0,0.0,Notice,2014-10-31 00:00:00,DLS,,5074519370,7762,"5400 w roosevelt, chicago, il"
61,51494723,2007-01-01 00:37:00,1602 N WINCHESTER,0fc6bab00868b5866f0639ead660d750e64b3766297c0ea5e3bd9ac81dde6d4a,IL,TMP,60637,0964100A,WITHIN 15' OF FIRE HYDRANT,14,CPD,CADI,100,200,199.67,0.33,Notice,2017-04-18 00:00:00,DLS,,5023042720,18525,"1600 n winchester, chicago, il"
62,51261437,2007-01-01 00:38:00,912 W ROSCOE,3a520062e04f8f6d9580a6c9f5a71a38795ae24b8753b6ca39286d9998faf9b5,IL,PAS,604022524,0964100A,WITHIN 15' OF FIRE HYDRANT,23,CPD,TOYT,100,200,0.0,0.0,Dismissed,2007-03-28 00:00:00,,,0,9738,"900 w roscoe, chicago, il"
63,51067427,2007-01-01 00:38:00,2600 W SEMINARY,e4947c4f586915848bc32ec0cfb94500af0e65e1be4e6ba70e6dcfe874fd2f87,IL,PAS,60613,0964150B,PARKING/STANDING PROHIBITED ANYTIME,19,CPD,CHEV,50,100,122.0,0.0,Notice,2007-01-10 00:00:00,SEIZ,,5075448290,9417,"2600 w seminary, chicago, il"
64,51261128,2007-01-01 00:39:00,3510 N HALSTED,19d70fc9c3b09bd9cd7828ddce75b1592fa3d47f684676890e9f1c4e17327e29,IL,PAS,606092125,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,23,CPD,MERC,90,180,0.0,90.0,Paid,2007-01-30 00:00:00,VIOL,,5079881190,12147,"3500 n halsted, chicago, il"
65,51065732,2007-01-01 00:39:00,225 W ROSCOE,b5d9dc304cc26368680a079b4ca3130453679d1a60f65a776931d47de760e2db,IL,PAS,606186237,0964150B,PARKING/STANDING PROHIBITED ANYTIME,19,CPD,JEEP,50,100,0.0,50.0,Paid,2007-01-11 00:00:00,,,5079934940,11898,"200 w roscoe, chicago, il"
66,51261452,2007-01-01 00:40:00,3100 N LAKE SHORE DR,a88645ac3eaf6e65f9ade98002bf67f4be83575b36420e85047ab7454e106f43,IL,PAS,,0964080B,NO STANDING/PARKING TIME RESTRICTED,23,CPD,GMC,50,100,0.0,50.0,Paid,2007-01-11 00:00:00,,,0,10573,"3100 n lake shore dr, chicago, il"
67,51260667,2007-01-01 00:40:00,4756 N MAGNOLIA,e5b95a0edc577e4dd6e5b0a9eef97a3b8141d183d186eba2c512da1ae5612382,IL,PAS,606402074,0964150B,PARKING/STANDING PROHIBITED ANYTIME,23,CPD,CHRY,50,100,122.0,0.0,Notice,2007-02-23 00:00:00,FINL,,5079880980,12782,"4700 n magnolia, chicago, il"
68,50932373,2007-01-01 00:40:00,3000 S WENTWORTH,88c66abc42c750296d7935f44ef62ca3debd799c9106c391cdb7f31543322f35,IL,PAS,606256766,0964150B,PARKING/STANDING PROHIBITED ANYTIME,21,CPD,CHEV,50,100,0.0,50.0,Paid,2007-02-08 00:00:00,DETR,,5074438980,13740,"3000 s wentworth, chicago, il"
69,51260668,2007-01-01 00:41:00,4756 W MAGNOLIA,fc6aa24bd29f7944fc23982474db3ac0c1a49648e2b783dc4bccc8ffa18d342a,IL,PAS,606404978,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,23,CPD,TOYT,50,100,0.0,100.0,Paid,2007-11-08 00:00:00,SEIZ,,5049696280,12782,"4700 w magnolia, chicago, il"
70,51259878,2007-01-01 00:41:00,3801 N RECREATION DR,3525e2145d1443c717ffdd85513a915bb70039f04ced05b8f4e8646efddf190b,IL,PAS,601934909,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,23,CPD,NISS,50,100,0.0,122.0,Paid,2010-04-28 00:00:00,SEIZ,,5021746960,19625,"3800 n recreation dr, chicago, il"
71,51065733,2007-01-01 00:41:00,2201 W ROSCOE,8158e88eaf0ac01712aa425eb582bd4aa2d74a2a78ecad3cd66604e5c84d8ae8,IL,PAS,606186327,0964150B,PARKING/STANDING PROHIBITED ANYTIME,19,CPD,CHEV,50,100,0.0,50.0,Paid,2007-02-20 00:00:00,VIOL,,5079934950,11898,"2200 w roscoe, chicago, il"
72,51096298,2007-01-01 00:42:00,6123 S MARYLAND,523b99b1206d2ffaaaea1bd23358ef8461b6582b1719b188908015c3194152f5,IL,PAS,,0964090E,RESIDENTIAL PERMIT PARKING,3,CPD,SUBA,50,100,50.0,0.0,Define,2007-01-04 00:00:00,,,0,14188,"6100 s maryland, chicago, il"
73,51261421,2007-01-01 00:42:00,759 W ROSCOE,bfab89a574458c1492c1414e2f1133ebb0c9e5ec72cf0e1621c35a82e98c05e3,IL,PAS,606262005,0964150B,PARKING/STANDING PROHIBITED ANYTIME,23,CPD,JEEP,50,100,122.0,0.0,Notice,2007-01-10 00:00:00,SEIZ,,5079881340,13204,"700 w roscoe, chicago, il"
74,51603006,2007-01-01 00:42:00,3000 S WENTWORTH,2064aa55bdd7256dd9e8f4b68ecb6cf21948fe184f21bc3f57577c8aec701def,IL,PAS,618204199,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,21,CPD,CHEV,90,180,0.0,219.6,Paid,2010-03-26 00:00:00,SEIZ,,5079895970,17664,"3000 s wentworth, chicago, il"
75,51494724,2007-01-01 00:43:00,2101 W DIVISION,194008b17cafd3631db1892c9c339c08388f54d09c880863495b16e3354d6ab3,IL,PAS,,0964110A,DOUBLE PARKING OR STANDING,14,CPD,VOLK,100,200,100.0,0.0,Define,2007-01-05 00:00:00,,,0,18525,"2100 w division, chicago, il"
